domain,Source,"NewsGuard, Does not repeatedly publish false content","NewsGuard, Gathers and presents information responsibly","NewsGuard, Regularly corrects or clarifies errors","NewsGuard, Handles the difference between news and opinion responsibly","NewsGuard, Avoids deceptive headlines","NewsGuard, Website discloses ownership and financing","NewsGuard, Clearly labels advertising","NewsGuard, Reveals who's in charge, including any possible conflicts of interest","NewsGuard, Provides information about content creators","NewsGuard, score","NewsGuard, overall_class","Pew Research Center, known_by_40%","Pew Research Center, total","Pew Research Center, consistently_liberal","Pew Research Center, mostly_liberal","Pew Research Center, mixed","Pew Research Center, mostly conservative","Pew Research Center, consistently conservative","Wikipedia, is_fake","Open Sources, reliable","Open Sources, fake","Open Sources, unreliable","Open Sources, bias","Open Sources, conspiracy","Open Sources, hate","Open Sources, junksci","Open Sources, rumor","Open Sources, blog","Open Sources, clickbait","Open Sources, political","Open Sources, satire","Open Sources, state","Media Bias / Fact Check, label","Media Bias / Fact Check, factual_reporting","Media Bias / Fact Check, extreme_left","Media Bias / Fact Check, right","Media Bias / Fact Check, extreme_right","Media Bias / Fact Check, propaganda","Media Bias / Fact Check, fake_news","Media Bias / Fact Check, some_fake_news","Media Bias / Fact Check, failed_fact_checks","Media Bias / Fact Check, conspiracy","Media Bias / Fact Check, pseudoscience","Media Bias / Fact Check, hate_group","Media Bias / Fact Check, anti_islam","Media Bias / Fact Check, nationalism","Allsides, bias_rating","Allsides, community_agree","Allsides, community_disagree","Allsides, community_label","BuzzFeed, leaning","PolitiFact, Pants on Fire!","PolitiFact, False","PolitiFact, Mostly False","PolitiFact, Half-True","PolitiFact, Mostly True","PolitiFact, True"
newswars.com,Newswars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
newsweek.com,Newsweek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,1452.0,1847.0,somewhat disagree,,0.0,0.0,0.0,0.0,1.0,0.0
observer.com,Observer,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbs.org,PBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,1714.0,1212.0,somewhat agree,,,,,,,
palmerreport.com,Palmer Report,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
gellerreport.com,Pamela Geller Report,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,
thepinknews.com,Pink News UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
politico.com,Politico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,least_biased,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
,Politics UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lean Left,11349.0,18812.0,disagree,,,,,,,
politicususa.com,Politicus USA,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.5,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,Left,702.0,217.0,absolutely agree,left,,,,,,
powerlineblog.com,Powerline Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,,,,,
pravda.ru,Pravada Report,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,2.0,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
prisonplanet.com,Prison Planet,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,,,,,,
rt.com,RT,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,32.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
rawstory.com,Raw Story,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,399.0,233.0,agree,left,0.0,0.0,0.0,1.0,0.0,0.0
realclearpolitics.com,Real Clear Politics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,1983.0,1606.0,somewhat agree,right,,,,,,
therealnews.com,Real News Right Now,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
redstate.com,RedState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,517.0,159.0,absolutely agree,right,,,,,,
reuters.com,Reuters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,least_biased,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,4503.0,3158.0,somewhat agree,,,,,,,
rightwingwatch.org,RightWingWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,304.0,126.0,strongly agree,left,,,,,,
russia-insider.com,Russia-Insider,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,right_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
salon.com,Salon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,8874.0,4288.0,strongly agree,left,,,,,,
scrappleface.com,ScrappleFace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
shadowproof.com,Shadow Proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
americanindependent.com,Shareblue,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,34.5,0.0,,,,,,,,,,,1.0,3.0,,,,,,,2.0,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
news.sky.com,SkyNewsPolitics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
news.sky.com,SkyNewsUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
slate.com,Slate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,1806.0,1861.0,somewhat disagree,,,,,,,
spiegel.de,Spiegel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
sputniknews.com,Sputnik,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.5,0.0,,,,,,,,,,3.0,,1.0,,,,,,,,,2.0,right_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
talkingpointsmemo.com,Talking Points Memo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
tass.com,Tass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
telesurtv.net,Telesur TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
theamericanconservative.com,The American Conservative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,82.0,85.0,somewhat disagree,right,,,,,,
theatlantic.com,The Atlantic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,2777.0,1806.0,agree,,,,,,,
thebeaverton.com,The Beaverton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0,0.0,0.0,0.0,0.0
,The Borowitz Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
chaser.com.au,The Chaser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
theconservativetreehouse.com,The Conservative Tree House,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,17.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,,,,,
dcclothesline.com,The D.C. Clothesline,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,right,,,,,,
dailycaller.com,The Daily Caller,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,70.0,1.0,,,,,,,,,,,,3.0,,,,,,2.0,1.0,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,3031.0,1904.0,agree,right,0.0,2.0,0.0,0.0,0.0,0.0
express.co.uk,The Daily Express,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
mirror.co.uk,The Daily Mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
dailyrecord.co.uk,The Daily Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
dailystar.co.uk,The Daily Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
denverpost.com,The Denver Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
theduran.com,The Duran,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,17.5,0.0,,,,,,,,,,,1.0,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
thefiscaltimes.com,The Fiscal Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,616.0,470.0,somewhat agree,,,,,,,
thegatewaypundit.com,The Gateway Pundit,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,,,,,,,,,,,3.0,1.0,2.0,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Right,371.0,236.0,agree,right,0.0,1.0,0.0,0.0,1.0,1.0
theguardian.com,The Guardian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,4434.0,2667.0,agree,,,,,,,
thehill.com,The Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,5463.0,6852.0,somewhat disagree,,,,,,,
huffpost.com,The Huffington Post,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,15600.0,18254.0,somewhat disagree,,,,,,,
independent.co.uk,The Independent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
theintercept.com,The Intercept,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,,1.0,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,498.0,401.0,somewhat agree,,,,,,,
irishtimes.com,The Irish Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
simonandschuster.com,The Michelle Malkin Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,434.0,201.0,strongly agree,right,,,,,,
themoscowtimes.com,The Moscow Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
nytimes.com,The New York Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,12636.0,21896.0,disagree,,0.0,0.0,1.0,0.0,0.0,0.0
theonion.com,The Onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
thepoke.co.uk,The Poke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ajc.com,The Political Insider,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.5,0.0,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,1.0,0.0,0.0,0.0,0.0,0.0
therightscoop.com,The Right Scoop,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,47.5,0.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,,,,,,
theshovel.com.au,The Shovel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
thespoof.com,The Spoof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
thesun.co.uk,The Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
telegraph.co.uk,The Telegraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,417.0,238.0,agree,,,,,,,
theverge.com,The Verge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,319.0,213.0,somewhat agree,,,,,,,
washingtonexaminer.com,The Washington Examiner,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.5,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,right_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,2927.0,1607.0,agree,right,0.0,0.0,0.0,1.0,0.0,0.0
theantimedia.org,TheAntiMedia,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,,,,,,,,,,,1.0,2.0,3.0,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
theblaze.com,TheBlaze,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,,,,,,,,,,,2.0,1.0,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,,,,,,
thinkprogress.org,ThinkProgress,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,,,,,,,,,,,,1.0,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,1806.0,623.0,strongly agree,left,,,,,,
trueactivist.com,True Activist,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,questionable_source,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
truepundit.com,True Pundit,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,12.5,0.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,1.0,0.0,0.0,0.0,0.0,0.0
usatoday.com,USA Today,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,10753.0,7745.0,somewhat agree,,,,,,,
veteranstoday.com,Veterans Today,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
vox.com,Vox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,7902.0,10930.0,somewhat disagree,,,,,,,
wsj.com,WSJ Washington Wire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wakingtimes.com,Waking Times,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
washingtonmonthly.com,Washington Monthly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,139.0,116.0,somewhat agree,left,,,,,,
washingtonpost.com,Washington Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,21708.0,12981.0,agree,,,,,,,
westernjournal.com,Western Journal,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,32.5,0.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,759.0,319.0,strongly agree,right,,,,,,
wingsoverscotland.com,Wings Over Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
news.yahoo.com,Yahoo News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,1190.0,1137.0,somewhat agree,,,,,,,
ipolitics.ca,iPolitics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
oann.com,oann,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,right,,,,,,
sott.net,sott.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,